Function,CPU Time: Total,CPU Time: Self,Module,Function (Full),Source File,Start Address
facebook::velox::exec::test::PlanBuilder::project,0.02,0,libBOSSVeloxEngine.so,"facebook::velox::exec::test::PlanBuilder::project(std::vector<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char>>, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char>>>> const&)",PlanBuilder.cpp,0x1e417d0
facebook::velox::exec::Task::next,0.267978,0,libBOSSVeloxEngine.so,facebook::velox::exec::Task::next(folly::SemiFuture<folly::Unit>*),Task.cpp,0x403a040
facebook::velox::exec::TableScan::getOutput,0.0420137,0.0180273,libBOSSVeloxEngine.so,facebook::velox::exec::TableScan::getOutput(void),TableScan.cpp,0x41004a0
facebook::velox::exec::SimpleFunctionRegistry::registerFunctionInternal,0.00800785,0.00800785,libBOSSVeloxEngine.so,"facebook::velox::exec::SimpleFunctionRegistry::registerFunctionInternal(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char>> const&, std::shared_ptr<facebook::velox::core::ISimpleFunctionMetadata const> const&, std::function<std::unique_ptr<facebook::velox::exec::SimpleFunctionAdapterFactory, std::default_delete<facebook::velox::exec::SimpleFunctionAdapterFactory>> (void)> const&)",SimpleFunctionRegistry.cpp,0x41bbbd0
"facebook::velox::exec::SimpleFunctionRegistry::registerFunction<facebook::velox::exec::SimpleFunctionAdapterFactoryImpl<facebook::velox::core::UDFHolder<facebook::velox::functions::ArrayFrequencyFunction<facebook::velox::exec::VectorExec, double>, facebook::velox::exec::VectorExec, facebook::velox::Map<double, int>, facebook::velox::ConstantChecker<facebook::velox::Array<double>>, facebook::velox::Array<double>>>>",0.00800785,0,libBOSSVeloxEngine.so,"facebook::velox::exec::SimpleFunctionRegistry::registerFunction<facebook::velox::exec::SimpleFunctionAdapterFactoryImpl<facebook::velox::core::UDFHolder<facebook::velox::functions::ArrayFrequencyFunction<facebook::velox::exec::VectorExec, double>, facebook::velox::exec::VectorExec, facebook::velox::Map<double, int>, facebook::velox::ConstantChecker<facebook::velox::Array<double>>, facebook::velox::Array<double>>>>(std::vector<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char>>, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char>>>> const&)",SimpleFunctionRegistry.h,0x2c1f4d0
"facebook::velox::exec::SimpleFunctionAdapter<facebook::velox::core::UDFHolder<facebook::velox::functions::(anonymous namespace)::MultiplyFunction<facebook::velox::exec::VectorExec>, facebook::velox::exec::VectorExec, double, facebook::velox::ConstantChecker<double, double>, double, double>>::apply",0.0119929,0.0119929,libBOSSVeloxEngine.so,"facebook::velox::exec::SimpleFunctionAdapter<facebook::velox::core::UDFHolder<facebook::velox::functions::(anonymous namespace)::MultiplyFunction<facebook::velox::exec::VectorExec>, facebook::velox::exec::VectorExec, double, facebook::velox::ConstantChecker<double, double>, double, double>>::apply(facebook::velox::SelectivityVector const&, std::vector<std::shared_ptr<facebook::velox::BaseVector>, std::allocator<std::shared_ptr<facebook::velox::BaseVector>>>&, std::shared_ptr<facebook::velox::Type const> const&, facebook::velox::exec::EvalCtx&, std::shared_ptr<facebook::velox::BaseVector>&) const",SimpleFunctionAdapter.h,0x281f890
"facebook::velox::exec::SimpleFunctionAdapter<facebook::velox::core::UDFHolder<facebook::velox::functions::(anonymous namespace)::MinusFunction<facebook::velox::exec::VectorExec>, facebook::velox::exec::VectorExec, double, facebook::velox::ConstantChecker<double, double>, double, double>>::apply",0.0160281,0.00799884,libBOSSVeloxEngine.so,"facebook::velox::exec::SimpleFunctionAdapter<facebook::velox::core::UDFHolder<facebook::velox::functions::(anonymous namespace)::MinusFunction<facebook::velox::exec::VectorExec>, facebook::velox::exec::VectorExec, double, facebook::velox::ConstantChecker<double, double>, double, double>>::apply(facebook::velox::SelectivityVector const&, std::vector<std::shared_ptr<facebook::velox::BaseVector>, std::allocator<std::shared_ptr<facebook::velox::BaseVector>>>&, std::shared_ptr<facebook::velox::Type const> const&, facebook::velox::exec::EvalCtx&, std::shared_ptr<facebook::velox::BaseVector>&) const",SimpleFunctionAdapter.h,0x2815e60
facebook::velox::exec::RowContainer::store,0.0100071,0.0100071,libBOSSVeloxEngine.so,"facebook::velox::exec::RowContainer::store(facebook::velox::DecodedVector const&, int, char*, int)",RowContainer.cpp,0x400c1e0
facebook::velox::exec::RowContainer::newRow,0.0302416,0.0202416,libBOSSVeloxEngine.so,facebook::velox::exec::RowContainer::newRow(void),RowContainer.cpp,0x400b440
facebook::velox::exec::RowContainer::hash,0.0199953,0.0199953,libBOSSVeloxEngine.so,"facebook::velox::exec::RowContainer::hash(int, folly::Range<char**>, bool, unsigned long*)",RowContainer.cpp,0x400df90
